單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
protective,保護的，防護的；有保護心的,4,中階,一般專業,adjective,"adjective: protective
adverb: protectively
noun: protection, protector
verb: protect","protective gear 防護裝備
protective clothing 防護衣物","Wearing a helmet is a good protective measure when cycling.
騎自行車時戴頭盔是一種很好的保護措施。"
protein,蛋白質,3,中階,一般專業,noun,noun: proteins,"lean protein 精瘦蛋白質
protein powder 蛋白質粉","Protein is essential for building and repairing tissues in the body.
蛋白質對於身體組織的建造和修復至關重要。"
protest,公開表達不同意或反對的行為，通常以示威或抗議的形式。,3,中階,溝通互動,"noun, verb","noun: protest, protests
verb: protest, protests, protesting, protested","file a protest 提出正式抗議
lodging a protest 提出申訴","Employees staged a protest against the proposed salary cuts.
員工們發起抗議，反對提議的薪資削減。"
protester,抗議者；示威者,3,中階,溝通互動,noun,"noun: protester, protesters","peaceful protester 和平抗議者
a crowd of protesters 一群抗議者","The protesters demanded immediate action from the government.
抗議者要求政府立即採取行動。"
protests,抗議活動；示威,3,中階,溝通互動,noun,noun: protests,"peaceful protests 和平抗議
mass protests 大規模抗議","The company is closely monitoring the ongoing protests in the region to assess potential supply chain disruptions.
公司正密切關注該地區持續的抗議活動，以評估潛在的供應鏈中斷。"
protocol,協議,3,進階,辦公日常,noun,noun: protocol,standard protocol 標準程序,"The company's new protocol initiative exceeded expectations in the first quarter.
公司的新protocol計畫在第一季度超出了預期。"
proton,質子,1,精熟,科技與技術支援,noun,"noun: proton, protons",,"A proton is a subatomic particle with a positive electric charge.
質子是一種帶正電的亞原子粒子。"
prototype,原型；初步設計（通常用於產品開發階段，表示尚未正式發布的版本）,3,中階,科技與技術支援,noun,"noun: prototype, prototypes","develop a prototype 開發原型
test a prototype 測試原型","The engineering team is working on a prototype of the new software application.
工程團隊正在開發新軟體應用程式的原型。"
proud,為…感到自豪；以…為榮,4,基礎,辦公日常,adjective,"adjective: proud,  prouder,  proudest","be proud to 很榮幸去做某事
We are proud to announce the launch of our new product 我們很榮幸宣布新產品上市","Our team is proud to have completed the project ahead of schedule and under budget.
我們的團隊很自豪地完成了專案，且在預定時間和預算內。"
prove,證明；確證；驗證,5,基礎,辦公日常,verb,"verb: prove, proves, proving, proved, proven",,"The company needs to prove its commitment to sustainability to attract investors.
公司需要證明其對可持續發展的承諾，以吸引投資者。"
proven,經證實的；已獲得驗證的；確鑿的,4,中階,辦公日常,adjective,"adjective: proven, more proven, most proven","proven method 已證實的方法
proven ability 已證實的能力","The company's success is a proven track record of innovation and customer satisfaction.
公司的成功是創新和客戶滿意度的確鑿記錄。"
provide,提供；供給；供應,5,基礎,辦公日常,verb,"verb: provide, provides, providing, provided",,"Please provide all necessary documents for the visa application.
請提供所有簽證申請所需的必要文件。"
provided,提供；供給；供應,4,中階,辦公日常,verb,"verb: provided, provides, providing","the information provided 所提供的資訊
services provided 提供的服務","The company provides employees with comprehensive training programs.
公司為員工提供全面的培訓計畫。"
provider,供應商；提供者（指提供商品、服務或資訊的對象）,4,基礎,採購與物流,noun,"noun: provider, providers",,"Our company is seeking a reliable internet provider with competitive pricing.
我們公司正在尋找一家具有競爭力價格的可靠網路供應商。"
providers,供應商；提供者（指提供產品、服務或資訊的機構或個人）,4,基礎,採購與物流,noun,noun: providers,"service providers 服務提供商
healthcare providers 醫療服務提供者","Our company is seeking reliable internet service providers.
我們公司正在尋找可靠的網路服務供應商。"
provides,提供；供給；供應,5,基礎,辦公日常,verb,"verb: provides, providing, provided",,"The company provides comprehensive training programs for all new employees.
公司為所有新進員工提供全面的培訓計畫。"
providing,提供；供給；供應,5,基礎,辦公日常,verb,"verb: providing, provides, provided","providing a service 提供服務
providing support 提供支援","The company is providing employees with additional training to improve their skills.
公司正在為員工提供額外的培訓以提升他們的技能。"
province,省份；（某一學術、活動等的）領域，範圍，本分,4,中階,一般專業,noun,noun: provinces,"neighboring province 鄰近省份
provincial government 省政府","The company operates in several provinces across the country.
這家公司在全國的多個省份都有業務。"
provincial,屬於地方性的；省級的；（指）地方性的、鄉下的,2,進階,營運管理,adjective,"adjective: provincial, more provincial, most provincial","provincial government 省政府
metropolitan 大都市的","The company decided to expand its operations beyond the provincial market.
公司決定將其業務拓展到省級市場以外。"
provision,供應；備妥；條款；規定,3,進階,採購與物流,"noun, verb","noun: provision, provisions
verb: provision, provides, providing, provided",under the provisions of the contract 根據合約規定,"The contract includes a provision for handling unforeseen circumstances.
這份合約包含處理不可預見情況的條款。"
provoke,激怒；引起（某人）憤怒或不滿，使產生反應,3,進階,溝通互動,verb,"verb: provoke, provokes, provoking, provoked","provoke a reaction 引起反應
provoke a response 激起回覆","The manager's harsh criticism provoked a strong reaction from the team.
經理嚴厲的批評激發了團隊強烈反彈。"
provoking,挑釁的；引起爭論的；激怒的,2,進階,溝通互動,adjective,"adjective: provoking, more provoking, most provoking",,"The manager warned the employee that his provocative comments could damage the company's reputation.
經理警告這位員工，他的挑釁言論可能會損害公司的聲譽。"
proximity,接近程度；鄰近性,3,進階,辦公日常,noun,"noun: proximity, proximities",,"The office is located in close proximity to the subway station, making it convenient for employees.
辦公室鄰近捷運站，方便員工通勤。"
proxy,代理人；代理權；代理伺服器,3,進階,科技與技術支援,noun,noun: proxies,"vote by proxy 委託投票
act as a proxy 充當代理人","Shareholders can appoint a proxy to vote on their behalf at the annual meeting.
股東可以委派代理人在年度會議上代為投票。"
prudent,謹慎的；深謀遠慮的；節儉的,3,進階,一般專業,adjective,"adjective: prudent
adverb: prudently
noun: prudence",,"It's prudent to save money for a rainy day.
未雨綢繆地儲蓄是謹慎的做法。"
psychiatric,精神病學的；精神病的,2,進階,一般專業,adjective,"adjective: psychiatric
noun: psychiatry, psychiatrist","psychiatric evaluation 精神鑑定
psychiatric ward 精神病房","She is receiving psychiatric treatment for her depression.
她正在接受精神疾病治療以改善她的憂鬱症。"
psychological,與心理學相關的；涉及心理過程或心理狀態的。,3,進階,人力資源,adjective,"adjective: psychological, more psychological, most psychological",,"The employee's performance issues may be due to psychological factors, requiring a sensitive approach.
員工的績效問題可能源於心理因素，需要謹慎處理。"
psychologist,心理學家,2,中階,一般專業,noun,noun: psychologists,"consult a psychologist 諮詢心理學家
psychiatrist 精神科醫生","She decided to consult a psychologist to help her deal with stress.
她決定諮詢一位心理學家來幫助她處理壓力。"
psychology,心理學；心理學研究,2,進階,人力資源,noun,"noun: psychology, psychologies",,"The HR department is considering incorporating psychological assessments into the hiring process.
人資部門正在考慮將心理測驗納入招聘流程。"
pub,英式酒吧，通常提供餐飲和社交場所。,1,入門,住宿與餐飲,noun,"noun: pub, pubs",,"After a long day of negotiations, the team decided to unwind at a local pub.
經過一天的談判，團隊決定在一家當地酒吧放鬆一下。"
public,公開的；公共的；屬於大眾的,5,基礎,辦公日常,"adjective, noun","adjective: public, more public, most public
noun: public, publics",,"The company released a public statement addressing the recent allegations.
公司發布了一份公開聲明，以回應最近的指控。"
publication,出版物；發行物（通常指書籍、雜誌、報紙等）,4,中階,辦公日常,noun,"noun: publication, publications","monthly publication 月刊
recent publication 近期出版物","The company's latest publication highlights its commitment to sustainability.
這家公司的最新出版物強調了其對可持續發展的承諾。"
publications,出版物；發行物（通常指公司、組織或政府發行的文件、報告、雜誌等）,4,中階,辦公日常,noun,noun: publications,"trade publications 行業刊物
digital publications 數位刊物","The company's annual publications include a financial report and a sustainability overview.
該公司的年度出版物包括財務報告和可持續發展概述。"
publicity,公開傳播；公眾注意，通常指透過媒體的宣傳活動。,4,中階,行銷與銷售,noun,"noun: publicity, publicities","generate publicity 引起關注
adverse publicity 負面宣傳","The company launched a major publicity campaign to promote its new product.
該公司啟動了一項大型宣傳活動，以推廣其新產品。"
publicize,公開宣傳；廣泛宣佈（某事）,4,中階,行銷與銷售,verb,"verb: publicize, publicizes, publicizing, publicized","widely publicized 廣為宣傳
publicize the new product 宣傳新產品","The company plans to publicize its new product line through social media and online advertising.
公司計畫透過社群媒體和線上廣告來宣傳其新產品線。"
publicly,公開地；當眾地,4,中階,溝通互動,adverb,"adjective: public
noun: public
adverb: publicly","publicly available 公開可用
publicly announce 公開宣布","The company publicly announced its new product line.
該公司公開宣布了其新產品線。"
publish,發布；公佈（資訊、報告等）,4,基礎,辦公日常,verb,"verb: publish, publishes, publishing, published","publish a report 發布報告
publish a manual 出版手冊","The company plans to publish its quarterly earnings report next week.
公司計劃下週發布其季度盈利報告。"
published,已發表的；已發布的（指文件、報告、公告等正式對外公開的狀態）,4,基礎,科技與技術支援,"verb, adjective","verb: published, publishes, publishing
adjective: published","be published in 發表於某媒體
recently published 最近出版的","The quarterly financial report was published on the company intranet yesterday.
本公司季度財務報告已於昨日在內部網路上發布。"
publisher,出版商；發行人（通常指書籍、雜誌等）,4,基礎,辦公日常,noun,"noun: publisher, publishers","major publisher 大型出版商
publishing house 出版社","The publisher is seeking manuscripts for their upcoming business journal.
該出版商正在尋找其即將發行的商業雜誌的手稿。"
publishing,出版；發行（書籍、雜誌等）,4,中階,營運管理,"verb, noun","verb: publishing, publishes, published
noun: publishing, publications","publishing industry 出版業
publishing house 出版社","The company is publishing a new marketing report next month.
公司下個月將發行一份新的行銷報告。"
pudding,布丁；（尤指）甜點，通常為果味或巧克力口味的凝固食品。,1,入門,住宿與餐飲,noun,"noun: pudding, puddings","dessert pudding 甜點布丁
dessert 甜點","The hotel offers a complimentary dessert buffet featuring various puddings and pastries.
這家飯店提供免費的甜點自助餐，包含各種布丁和點心。"
puff,一陣噴氣或煙霧；泡芙；（報章等的）吹捧；喘氣；噴出；使膨脹,2,進階,一般專業,"noun, verb","noun: puffs
verb: puffs, puffing, puffed","a puff of smoke 一陣煙
puff pastry 千層酥","A puff of smoke escaped from the old engine.
一陣煙霧從老舊的引擎中冒出。"
pulao,（印度或巴基斯坦的）米飯料理，通常以香料和蔬菜或肉類烹調而成。,1,精熟,住宿與餐飲,noun,"noun: pulao, pulaos","vegetable pulao 蔬菜燉飯
chicken pulao 雞肉燉飯","The restaurant offers a variety of flavorful pulao dishes, including vegetable and chicken options.
這家餐廳提供多種美味的米飯料理，包括蔬菜和雞肉口味。"
pull,拉；牽引；(引導、吸引),5,基礎,採購與物流,"verb, noun","verb: pull, pulls, pulling, pulled
noun: pull, pulls","pulling a cart 拉手推車
pulling a door open 拉開門","The logistics team needs to pull the shipment forward to meet the delivery deadline.
物流團隊需要將貨物提前拉到前線，以滿足交貨期限。"
pulled,拉；牽；提取；拔出（通常指用力或突然的動作）,4,基礎,採購與物流,verb,"verb: pulled, pulls, pulling",,"The shipping department pulled the order records to verify the delivery status.
運輸部門提取了訂單記錄以核實交貨狀態。"
pulley,滑輪；定滑輪；動滑輪,2,中階,科技與技術支援,noun,noun: pulleys,"pulley system 滑輪系統
hoist 吊起","The construction workers used a pulley system to lift the heavy beams to the roof.
建築工人使用滑輪系統將沉重的橫樑吊到屋頂。"
pullover,套頭衫，套頭毛衣,4,基礎,一般專業,noun,noun: pullovers,,"She chose a comfortable cotton pullover for her casual day out.
她選擇了一件舒適的棉質套頭衫，以便輕鬆外出。"
pulse,脈搏；（電腦）訊號、節奏,3,進階,科技與技術支援,"noun, verb","noun: pulse, pulses
verb: pulse, pulses, pulsing, pulsed",,"The server's pulse rate dropped unexpectedly, indicating a potential hardware failure.
伺服器的脈搏速率意外下降，表示可能存在硬體故障。"
pump,（機械、設備）幫浦；（價格、數量等）提升，提高,3,中階,採購與物流,"noun, verb","noun: pump, pumps
verb: pump, pumps, pumping, pumped","gas pump 加油機
heat pump 熱泵","The logistics department needs to order new pumps for the water treatment facility.
物流部門需要為水處理設施訂購新的幫浦。"
punch,（用拳頭）打；（電腦）鍵入，輸入,3,基礎,辦公日常,"noun, verb","noun: punch, punches
verb: punch, punches, punching, punched","time clock 打卡機
time card 打卡紙","He punched in his employee ID to access the system.
他輸入了他的員工 ID 以訪問系統。"
punctual,守時的；準時的,4,中階,辦公日常,adjective,"adjective: punctual
adverb: punctually
noun: punctuality","Please be punctual for the meeting 請準時參加會議
punctual delivery 準時交貨","It's important to be punctual for meetings to show respect for others' time.
開會準時很重要，這表示你尊重他人的時間。"
punctually,準時地；按時地（強調遵守時間表或約定）,4,中階,辦公日常,adverb,adverb: punctually,,"Please submit your expense reports punctually to ensure timely reimbursement.
請準時提交您的費用報告，以確保及時報銷。"
punish,懲罰；處罰；施以懲戒,4,基礎,人力資源,verb,"verb: punish, punishes, punishing, punished",,"The company will punish employees who violate the code of conduct.
公司將懲罰違反行為準則的員工。"
punishment,懲罰；處罰；制裁,3,中階,人力資源,noun,"noun: punishment, punishments","impose a punishment 施予處罰
receive a punishment 接受處罰","The company has a strict policy regarding punishment for employees who violate company regulations.
公司對於違反公司規章的員工的處罰有嚴格的政策。"
pupil,學生；瞳孔,2,中階,一般專業,noun,noun: pupils,,"The teacher praised the diligent pupil for her excellent grades.
老師稱讚那位勤奮的學生獲得了優異的成績。"
puppy,幼犬，小狗,1,入門,一般專業,noun,noun: puppies,"puppy training 幼犬訓練
puppy food 幼犬飼料","The children were excited to play with the new puppy.
孩子們很興奮能和這隻新來的小狗玩耍。"
purchase,購買；採購,5,基礎,採購與物流,verb,"verb: purchase, purchases, purchasing, purchased",bulk purchase 大量採購,"The company plans to purchase new equipment to improve production efficiency.
公司計劃採購新設備以提高生產效率。"
purchased,購買；採購,5,基礎,採購與物流,verb,"verb: purchased, purchases, purchasing","proof of purchase 購買證明
purchased in bulk 大宗採購","The company purchased a new server to improve data processing speed.
公司購買了新的伺服器以提高資料處理速度。"
purchaser,採購者；買方；購買人,4,中階,採購與物流,noun,"noun: purchaser, purchasers",,"The purchaser is responsible for inspecting the goods upon delivery.
採購者有責任在貨物交付時進行檢查。"
purchases,購買行為；購買品項,5,基礎,採購與物流,noun,noun: purchases,"make a purchase 進行購買
bulk purchases 大宗採購","The company's annual purchases of raw materials totaled over $5 million.
公司每年購買的原材料總額超過 500 萬美元。"
purchasing,採購；購買（通常指企業或組織的正式採購流程）,5,基礎,採購與物流,"verb, noun","verb: purchasing, purchases, purchased
noun: purchasing, purchases","purchasing department 採購部門
purchasing power 購買力","The purchasing department is responsible for negotiating contracts with suppliers.
採購部門負責與供應商協商合約。"
pure,純粹的；未經摻雜的；絕對的,3,中階,辦公日常,adjective,"adjective: pure, purer, purest","pure water 純淨水
pure science 純科學","The company prides itself on using pure ingredients in its products.
該公司以其產品中使用純淨成分為傲。"
purely,純粹地；完全地；僅僅,4,中階,一般專業,adverb,adverb: purely,"purely accidental 純屬偶然
purely coincidental 純屬巧合","The decision was purely based on the facts, not on personal opinions.
這個決定純粹是基於事實，而非個人意見。"
purify,使純淨；去除雜質（尤指水、空氣或流程）,3,中階,營運管理,verb,"verb: purify, purifies, purifying, purified",,"The company invested in a new water purification system to ensure the safety of its products.
公司投資了新的水淨化系統，以確保其產品的安全。"
purpose,目的；意圖；目標,5,基礎,辦公日常,noun,"noun: purpose, purposes","on purpose 故意地
serve a purpose 起作用","The main purpose of this meeting is to discuss the upcoming marketing campaign.
這次會議的主要目的是討論即將到來的行銷活動。"
purposes,目的；用途；意圖（通常指多個目的）,4,基礎,辦公日常,noun,noun: purposes,,"The company's main purposes are to increase profits and expand its market share.
該公司的主要目的包括提高利潤和擴大市場份額。"
purse,錢包；手提包；財政；獎金,4,基礎,辦公日常,"noun, verb","noun: purse, purses
verb: purse, purses, pursed, pursing","clutch purse 手拿包
shoulder purse 肩背包","She reached into her purse to find her wallet.
她伸手進錢包找她的皮夾。"
purser,事務長；管事；（船隻、客機等的）座艙長，空服經理,2,進階,旅遊與交通,noun,noun: pursers,"flight attendant 空服員
purse 錢包","The purser is responsible for all financial transactions and passenger services on board the ship.
事務長負責船上所有財務交易和旅客服務。"
pursuant,依照；根據；按照（尤指法律、協議或計劃）,2,進階,法務合規與安全,"adjective, preposition","adjective: pursuant
preposition: pursuant to",pursuant to the contract 根據合約,"Pursuant to the contract, payment is due within 30 days of invoice.
根據合約，款項應在發票開立後30天內支付。"
pursue,追求；積極追尋（目標、事業、夢想等）,4,中階,人力資源,verb,"verb: pursue, pursues, pursuing, pursued",,"The company encourages employees to pursue professional development opportunities.
公司鼓勵員工積極追求專業發展機會。"
pursuing,積極追求；致力於（某目標或事業）,4,中階,人力資源,verb,"verb: pursuing, pursues, pursued","pursuing a degree 攻讀學位
pursuing a goal 追求目標","The company is pursuing a new market segment to increase its revenue.
該公司正在積極開拓新的市場區域以增加收入。"
pursuit,追求；致力於（某目標或事業）,3,中階,營運管理,"noun, verb","noun: pursuit, pursuits
verb: pursuit, pursues, pursuing, pursued","pursuit of excellence 追求卓越
professional pursuits 專業追求","The company's primary pursuit is to expand its market share in Asia.
該公司的主要追求是擴大其在亞洲的市場份額。"
push,推動；用力將某物移開；(比喻)促使；鼓勵,5,入門,辦公日常,"verb, noun","verb: push, pushes, pushing, pushed
noun: push, pushes","push for a promotion 爭取晉升
push for a deadline extension 爭取延長截止日期","Please push the button to activate the elevator.
請按下按鈕以啟動電梯。"
pushup,伏地挺身,2,中階,一般專業,noun,noun: pushups,push up 分開寫,"He does 50 pushups every morning as part of his routine.
他每天早上做50個伏地挺身，作為他日常習慣的一部分。"
puzzle,謎題，難題；使困惑，使費解,3,中階,一般專業,"noun, verb","noun: puzzles
verb: puzzles, puzzling, puzzled","puzzled 形容人感到困惑
puzzling 形容事情令人不解","The detective tried to piece together the puzzle of the missing documents.
偵探試圖拼湊出文件失蹤的謎團。"
pyramid,金字塔；錐體；層級組織,2,進階,一般專業,"noun, verb","noun: pyramids
verb: pyramided, pyramiding, pyramids",,"The Great Pyramid of Giza is one of the Seven Wonders of the Ancient World.
吉薩大金字塔是世界七大奇蹟之一。"
pyramids,金字塔；（比喻）龐大的組織或系統,2,進階,旅遊與交通,noun,noun: pyramids,"Population pyramid 人口金字塔
pyramid 金字塔結構","The tour guide highlighted the historical significance of the pyramids during the excursion.
導遊在這次旅行中強調了金字塔的歷史意義。"
quad,四個；由四個部分組成的,1,精熟,辦公日常,"noun, adjective","noun: quad, quads
adjective: quad, quadruple","quadruple 變為四倍
quadrant 象限","The company is investing in a new quad-core processor to improve system performance.
公司正在投資新的四核心處理器以提升系統效能。"
quadricep,股四頭肌,1,精熟,一般專業,noun,"noun: quadricep, quadriceps","quadricep strain 股四頭肌拉傷
strengthen the quadriceps 強化股四頭肌","He felt a strain in his quadricep after the long run.
長跑後，他感覺股四頭肌有些拉傷。"
qualification,資格；符合條件的證明,4,中階,人力資源,noun,"noun: qualification, qualifications","Applicants must meet the necessary qualifications 應徵者必須符合必要資格
highly qualified 極具資格的","The candidate must possess the necessary qualifications for the position.
候選人必須具備該職位所需的資格。"
qualifications,資歷；資格；學歷與經驗證明,4,中階,人力資源,noun,noun: qualifications,,"The job description lists the required qualifications, including a bachelor's degree and five years of experience.
工作描述列出了所需的資歷，包括學士學位和五年的經驗。"
qualified,具備資格的；符合要求的；勝任的,4,中階,人力資源,adjective,"adjective: qualified, more qualified, most qualified",,"The candidate is highly qualified for the position, possessing extensive experience in project management.
這位候選人非常勝任這個職位，擁有豐富的專案管理經驗。"
qualifies,符合資格；達到標準；勝任,4,中階,辦公日常,verb,"verb: qualifies, qualifying, qualified",qualifies for health insurance 有資格參加健保,"To qualify for the promotion, employees must have at least five years of experience.
為了符合升遷資格，員工必須至少有五年的經驗。"
qualify,符合資格；達到標準；勝任,4,中階,人力資源,"verb, adjective","verb: qualify, qualifies, qualifying, qualified
adjective: qualify, more qualified, most qualified","highly qualified 極具資格的
minimum qualifications 最低任職資格","To qualify for the management trainee program, candidates must have a bachelor's degree and two years of relevant experience.
為了符合管理培訓計畫的資格，候選人必須具備學士學位和兩年的相關經驗。"
qualitative,質性的；定性的；與品質有關的（而非數量）,3,進階,一般專業,adjective,"adjective: qualitative
adverb: qualitatively","qualitative analysis 定性分析
qualitative research 質性研究","The research primarily focused on collecting qualitative data through interviews and focus groups.
這項研究主要透過訪談和焦點小組收集質性資料。"
quality,品質；優良程度；水準,5,基礎,營運管理,"noun, adjective","noun: quality, qualities
adjective: quality, better, best",,"The company is committed to maintaining the highest quality standards for its products.
公司致力於維持其產品的最高品質標準。"
quantify,衡量、估算（某事物的大小、數量或程度），通常涉及使用數字或數據。,3,進階,金融與會計,verb,"verb: quantify, quantifies, quantifying, quantified","quantify the impact 量化影響
quantify the benefits 量化益處","The marketing team needs to quantify the impact of the new advertising campaign.
行銷團隊需要衡量新廣告活動的影響。"
quantitative,量化的；數量的；定量的,3,進階,一般專業,adjective,"adjective: quantitative
adverb: quantitatively
noun: quantity, quantification","quantitative analysis 定量分析
quantitative data 量化數據","The research involved a quantitative analysis of market data.
這項研究包含了對市場數據的量化分析。"
quantity,數量；份數；大批數量,5,基礎,採購與物流,noun,"noun: quantity, quantities","in quantity 大量地
quantity discount 大宗採購折扣","We need to confirm the quantity of the order before proceeding with production.
在開始生產之前，我們需要確認訂單的數量。"
quantum,物理學中能量或物質的最小不可分割單位；或指其相關的物理現象、理論。,1,精熟,科技與技術支援,"noun, adjective","noun: quantum, quanta
adjective: quantum",,"In quantum mechanics, energy is absorbed or emitted in discrete units called quanta.
在量子力學中，能量以稱為「量子」的離散單位被吸收或發射。"
quarrel,爭吵；口角；爭論,2,中階,溝通互動,"noun, verb","noun: quarrel, quarrels
verb: quarrel, quarrels, quarreling, quarreled",with 對象,"The negotiation broke down after a heated quarrel between the two parties.
雙方在激烈的爭吵後，談判破裂。"
quarter,指一年中的三個月期間（財務季），或指四分之一的量；亦可作動詞，表示提供住宿或安置（如安置部隊）。,5,基礎,金融與會計,"noun, verb","noun: quarter, quarters
verb: quarter, quarters, quartering, quartered","quarterly report 季報
quarterly earnings 季度盈餘","Our sales increased by 8% in the second quarter compared with the same period last year.
與去年同期相比，我們第二季的銷售額增長了 8%。"
quarterly,每季；每四分之一年度（通常指財務報告或計畫），指每季一次的。,4,中階,金融與會計,"adjective, adverb","adjective: quarterly, more quarterly, most quarterly
adverb: quarterly","quarterly report 季度報告
quarterly earnings 季度盈餘","The company releases its quarterly earnings report every three months.
該公司每三個月發布一次季度盈利報告。"
quarters,四分之一；（硬幣）四分之一美元,3,進階,金融與會計,noun,noun: quarters,"staff quarters 員工宿舍
living quarters 生活空間","The company's profits increased by a quarter this fiscal year.
本財年，公司的利潤增加了四分之一。"
quasi,準; 半; 類似 (通常用作複合詞的前綴，表示『幾乎』或『不完全地』),1,精熟,一般專業,adjective,adjective: quasi,,"The organization functions as a quasi-governmental agency.
該組織作為一個準政府機構運作。"
query,查詢；提問（通常指正式或書面的請求資訊）,3,中階,溝通互動,"noun, verb","noun: query, queries
verb: query, queries, querying, queried","resolve a query 解決疑問
address a query 處理疑問","The IT department received a query regarding the new software update.
資訊部門收到關於新軟體更新的查詢。"
question,提問；問題；詢問,5,入門,溝通互動,"noun, verb","noun: question, questions
verb: question, answers, questioning, questioned","raise a question 提出問題
question the validity 質疑有效性","The interviewer asked several questions about my previous experience.
面試官問了我幾個關於之前經驗的問題。"
questionable,可疑的；值得質疑的；品質或可靠性令人懷疑的。,3,進階,辦公日常,adjective,"adjective: questionable, more questionable, most questionable",,"The company's accounting practices are questionable and require further investigation.
該公司的會計慣例值得質疑，需要進一步調查。"
questionably,可疑地；令人懷疑地（表示對某事物的真實性或可靠性存在疑問）,2,進階,溝通互動,adverb,adverb: questionably,,"The company's claims about its environmental practices were questionably accurate.
該公司關於其環境保護措施的聲明，其準確性令人懷疑。"
questioned,質疑；審問；詢問（某人關於某事）,4,中階,溝通互動,verb,"verb: questioned, questions, questioning","questioned the validity 質疑其有效性
questioned the necessity 質疑其必要性","The auditor questioned the accuracy of the financial records.
審計員質疑了財務記錄的準確性。"
questionnaire,問卷；調查表,4,中階,一般專業,noun,noun: questionnaire,,"The department implemented innovative questionnaire procedures to improve operational efficiency.
部門實施創新的questionnaire程序以提高營運效率。"
questions,提問；問題（通常指一系列的提問或測試題目）,5,入門,溝通互動,noun,noun: questions,"field questions 現場回答提問
address questions 處理問題","The interviewer asked several questions to assess the candidate's experience.
面試官為了評估候選人的經驗，提出了幾個問題。"
queue,排隊；隊伍,4,基礎,辦公日常,"noun, verb","noun: queue, queues
verb: queue, queues, queuing, queued","jump the queue 插隊
long queue 長龍","Employees are asked to queue up for their ID badges after the security check.
員工在安全檢查後需排隊領取身份證件。"
quick,快的;迅速的;立即的;機敏的,5,入門,辦公日常,"adjective, adverb","adjective: quicker, quickest
adverb: quickly",,"We need a quick decision on this proposal to meet the deadline.
我們需要對這項提案做出快速決定，才能趕上截止日期。"
quickly,迅速地；快速地（表示動作或完成某事的速度很快）,5,入門,辦公日常,adverb,adverb: quickly,,"The report needs to be completed quickly to meet the deadline.
為了趕上截止日期，報告需要迅速完成。"
quiet,安靜的；寂靜的；不喧鬧的,5,入門,辦公日常,"adjective, adverb","adjective: quiet, quieter, quietest
adverb: quiet","quiet 安靜的
quite 相當地","Please keep the volume down; we need a quiet environment to concentrate on our work.
請降低音量；我們需要一個安靜的環境來專注於工作。"
quietly,安靜地；悄悄地,5,基礎,辦公日常,adverb,adverb: quietly,"speak quietly 輕聲細語
wait quietly 安靜等候","Please complete the report quietly so as not to disturb your colleagues.
請安靜地完成報告，以免打擾您的同事。"
quit,辭職；停止從事某項工作或活動,5,基礎,人力資源,verb,"verb: quit, quits, quitting",,"John decided to quit his position as sales manager after receiving a better offer.
約翰在收到更好的工作機會後，決定辭去銷售經理的職位。"
quite,相當；頗；表示程度，但通常不表示完全。,5,入門,辦公日常,"adverb, adjective","adverb: quite
adjective: quite, quiter, quietest",,"The project is quite challenging, but we're confident we can deliver on time.
這個專案相當具有挑戰性，但我們有信心能夠按時交付。"
quitting,辭職；停止從事,4,基礎,人力資源,"verb, noun","verb: quitting, quits, quit
noun: quitting, quits","s job 離職
quitting time 下班時間","He decided to quit his job to pursue his dream of starting a business.
他決定辭職，以追求創業的夢想。"
quiz,"問答遊戲, 測驗; 詢問, 盤問",4,基礎,辦公日常,"noun, verb","noun: quizzes
verb: quizzed, quizzing, quizzes","take a quiz 參加小測驗
pop quiz 突擊測驗","The teacher gave us a short quiz on the vocabulary words.
老師給我們做了一個關於詞彙的簡短測驗。"
quota,配額；定額；限額；（移民、進口商品等的）限額,3,中階,營運管理,noun,"noun: quota, quotas","target 目標
budget 預算","Our sales team failed to meet their quarterly quota this quarter.
我們的銷售團隊本季度未能達到他們的季度配額。"
quotation,報價；引述語句；引用,4,中階,採購與物流,noun,"noun: quotation, quotations","request a quotation 索取報價單
submit a quotation 提交報價單","We are awaiting the quotation for the new office furniture.
我們正在等待關於新辦公室家具的報價。"
quote,引用；報價；引述,4,中階,採購與物流,"noun, verb","noun: quote, quotes
verb: quote, quotes, quoting, quoted",,"Could you please provide a quote for 100 units of this product?
您能為這款產品的 100 個單位提供報價嗎？"
race,競賽；種族；（公司）競爭,5,入門,營運管理,"noun, verb","noun: race, races
verb: race, races, racing, raced",race against time 與時間賽跑,"The company is in a fierce race to secure market share.
該公司正處於激烈的市場競爭中。"
races,競賽；種族；比賽,4,基礎,營運管理,"noun, verb","noun: races
verb: races, racing, raced",,"The company is conducting races to identify the most efficient logistics routes.
公司正在進行競賽，以找出最有效的物流路線。"
racial,種族的；人種的,3,進階,人力資源,adjective,"adjective: racial
adverb: racially
noun: race, racism, racist","discrimination 歧視
equality 平等","The company is committed to promoting racial equality in the workplace.
該公司致力於在工作場所推動種族平等。"
rack,貨架；置物架；堆積物,4,基礎,採購與物流,"noun, verb","noun: rack, racks
verb: rack, racks, racking, racked","coat rack 衣帽架
display rack 展示架","The warehouse staff are responsible for organizing the inventory on the racks.
倉庫員工負責在貨架上整理庫存。"
